,problem,neurons_1,neurons_2,neurons_3,activation,learning_rate,lambda_2,momentum,test_number,abs_error,rel_error
0,1,3,0,0,0,0.0001,0.0,0.0,0,0.012912543940001922,0.028002730809704196
1,1,3,0,0,0,0.0001,0.0,0.0,1,0.018572906824116227,0.04027805152617876
2,1,3,0,0,0,0.0001,0.0,0.0,2,0.03194578809185521,0.06927909082801093
3,1,3,0,0,0,0.0001,0.0,0.01,0,0.04676963240146408,0.10142675465751971
4,1,3,0,0,0,0.0001,0.0,0.01,1,0.004160377836414244,0.009022384834552618
5,1,3,0,0,0,0.0001,0.0,0.01,2,0.03294536263376461,0.07144681369899449
6,1,3,0,0,0,0.0001,0.0,0.1,0,0.07107779426991953,0.15414254144933393
7,1,3,0,0,0,0.0001,0.0,0.1,1,0.07457554038145565,0.1617279129498797
8,1,3,0,0,0,0.0001,0.0,0.1,2,0.07892154235977694,0.17115285075166772
9,1,3,0,0,0,0.0001,0.001,0.0,0,0.09246878414161518,0.20053201620453953
10,1,3,0,0,0,0.0001,0.001,0.0,1,0.10059416448676972,0.21815308604089823
11,1,3,0,0,0,0.0001,0.001,0.0,2,0.028785936003881404,0.06242649169424186
12,1,3,0,0,0,0.0001,0.001,0.01,0,0.09488562489600838,0.20577328712448073
13,1,3,0,0,0,0.0001,0.001,0.01,1,0.07032115006566061,0.15250164837132887
14,1,3,0,0,0,0.0001,0.001,0.01,2,0.07668471535181641,0.16630196583984566
15,1,3,0,0,0,0.0001,0.001,0.1,0,0.01046928248254596,0.02270416274993466
16,1,3,0,0,0,0.0001,0.001,0.1,1,0.07152053540924579,0.15510269004596539
17,1,3,0,0,0,0.0001,0.001,0.1,2,0.03104464877455609,0.06732483906773665
18,1,3,0,0,0,0.0001,0.01,0.0,0,0.012785645268035876,0.027727532570868726
19,1,3,0,0,0,0.0001,0.01,0.0,1,0.02526314756248133,0.05478681225675613
20,1,3,0,0,0,0.0001,0.01,0.0,2,0.04644836629790267,0.10073004235527207
21,1,3,0,0,0,0.0001,0.01,0.01,0,0.025694037414527613,0.05572125961209915
22,1,3,0,0,0,0.0001,0.01,0.01,1,0.03062664340247387,0.0664183335823871
23,1,3,0,0,0,0.0001,0.01,0.01,2,0.01510156585488482,0.0327499434196928
24,1,3,0,0,0,0.0001,0.01,0.1,0,0.012010768767952148,0.02604710010586159
25,1,3,0,0,0,0.0001,0.01,0.1,1,0.007784270905395834,0.016881324371592378
26,1,3,0,0,0,0.0001,0.01,0.1,2,0.08216818207621589,0.17819366148872848
27,1,3,0,0,0,0.00039810717055349735,0.0,0.0,0,0.005701761988723632,0.01236510069999481
28,1,3,0,0,0,0.00039810717055349735,0.0,0.0,1,0.029159416438574105,0.06323643837275744
29,1,3,0,0,0,0.00039810717055349735,0.0,0.0,2,0.046868127237548005,0.10164035504438536
30,1,3,0,0,0,0.00039810717055349735,0.0,0.01,0,0.021953132373113363,0.0476085625830602
31,1,3,0,0,0,0.00039810717055349735,0.0,0.01,1,0.01943787214459838,0.042153854709636326
32,1,3,0,0,0,0.00039810717055349735,0.0,0.01,2,0.027665939166937156,0.05999761555036209
33,1,3,0,0,0,0.00039810717055349735,0.0,0.1,0,0.025539358485178725,0.0553858158420244
34,1,3,0,0,0,0.00039810717055349735,0.0,0.1,1,0.039848107523080094,0.08641642060850128
35,1,3,0,0,0,0.00039810717055349735,0.0,0.1,2,0.024012950790841266,0.05207557860534966
36,1,3,0,0,0,0.00039810717055349735,0.001,0.0,0,0.02264999989166869,0.04911982121829148
37,1,3,0,0,0,0.00039810717055349735,0.001,0.0,1,0.025692717835102363,0.05571839791206552
38,1,3,0,0,0,0.00039810717055349735,0.001,0.0,2,0.023327880789714647,0.05058990460365874
39,1,3,0,0,0,0.00039810717055349735,0.001,0.01,0,0.043384737163055555,0.09408611669952881
40,1,3,0,0,0,0.00039810717055349735,0.001,0.01,1,0.054144526785966145,0.11742028646339712
41,1,3,0,0,0,0.00039810717055349735,0.001,0.01,2,0.046309990315027666,0.10042995389733676
42,1,3,0,0,0,0.00039810717055349735,0.001,0.1,0,0.02722927994679673,0.05905065648064017
43,1,3,0,0,0,0.00039810717055349735,0.001,0.1,1,0.026805480147976034,0.05813158493759448
44,1,3,0,0,0,0.00039810717055349735,0.001,0.1,2,0.033520736155361074,0.07269459491973317
45,1,3,0,0,0,0.00039810717055349735,0.01,0.0,0,0.012502822397183604,0.027114190013731783
46,1,3,0,0,0,0.00039810717055349735,0.01,0.0,1,0.012747628947784887,0.02764508864755583
47,1,3,0,0,0,0.00039810717055349735,0.01,0.0,2,0.01857076116211726,0.040273398345856984
48,1,3,0,0,0,0.00039810717055349735,0.01,0.01,0,0.055082713485025005,0.11945488086284792
49,1,3,0,0,0,0.00039810717055349735,0.01,0.01,1,0.053862381572164726,0.11680841350420033
50,1,3,0,0,0,0.00039810717055349735,0.01,0.01,2,0.02112482672900861,0.045812261243231366
51,1,3,0,0,0,0.00039810717055349735,0.01,0.1,0,0.0067108704124176095,0.014553499181177688
52,1,3,0,0,0,0.00039810717055349735,0.01,0.1,1,0.011825730107358316,0.025645816840064124
53,1,3,0,0,0,0.00039810717055349735,0.01,0.1,2,0.03184765413336469,0.06906627305672827
54,1,3,0,0,0,0.001584893192461114,0.0,0.0,0,0.003295544471377438,0.0071468678156829234
55,1,3,0,0,0,0.001584893192461114,0.0,0.0,1,0.012191451226401303,0.02643893631331201
56,1,3,0,0,0,0.001584893192461114,0.0,0.0,2,0.001119919292299857,0.0024287079770326544
57,1,3,0,0,0,0.001584893192461114,0.0,0.01,0,0.01862535214095978,0.040391786828581105
58,1,3,0,0,0,0.001584893192461114,0.0,0.01,1,0.0051068073849832715,0.01107485505282042
59,1,3,0,0,0,0.001584893192461114,0.0,0.01,2,0.0021427015408688643,0.004646760137528738
60,1,3,0,0,0,0.001584893192461114,0.0,0.1,0,0.0020230586962567917,0.004387297216314575
61,1,3,0,0,0,0.001584893192461114,0.0,0.1,1,0.009791096056505421,0.021233416782644985
